customer_key,customer_name,customer_address,nation_key,phone_number,account_balance,market_segment,comments
55,Mary Finley,"21507 Price Rue Apt. 759
Traceychester, NC 15235",19,911.781.4803x81341,9435.83,Segment_C,Trial where art a.
56,Donald Clements,"35588 Owens Highway
West Christine, OK 83918",8,330.677.4333x82771,1064.4,Segment_C,Catch focus early customer force.
57,Carrie Edwards,"1412 Derrick Road Suite 922
Baldwinshire, OK 27218",2,(493)744-9985x742,2853.05,Segment_C,Peace easy guess shoulder old when season.
58,Jennifer Wyatt,"8659 Robinson Meadow
New Jeremyfurt, VA 69206",20,337.425.1781x54629,253.59,Segment_A,Step into keep employee.
59,Tara Wright,"1372 Jennifer Passage
Lake Fernando, TN 43734",3,434-714-2135x49028,5157.41,Segment_B,Term billion list adult theory general.
60,Brandon Sanders,"1428 Chang Rue
East Christian, ID 02316",3,(776)224-3091x1578,1392.64,Segment_B,Source collection production final protect this.
61,Mrs. Rebecca Perez MD,"4525 Scott Falls
Hannahfort, MP 96130",15,+1-940-477-4379,2187.93,Segment_A,Road total arrive story their pull evening.
62,Michele Flores,"Unit 5826 Box 7509
DPO AA 20007",1,001-952-556-0262x5076,3067.45,Segment_C,Unit expect evidence public agreement.
63,Christina Terry,"84427 Bryan Courts Apt. 574
South Jaclynfurt, ID 51212",18,506.964.7474,4044.99,Segment_C,While happy determine decade.
64,George Powers,"4016 Anthony Lock
South Samantha, WV 04936",4,001-960-791-4258x05032,635.92,Segment_A,Society exactly meet race author hot.
65,Andrew Lang,"54112 Buchanan Greens
Michaelport, ME 88415",19,(867)866-0486x729,2376.99,Segment_B,Piece control must.
66,Daniel White,"3250 Schaefer Villages
Lake Jamesstad, OH 20720",12,001-617-519-6552x877,9972.51,Segment_A,Sit study yourself provide share.
67,Susan Mccullough,"18944 Danielle Cove
East Joshualand, ND 83755",5,+1-810-616-5446x2921,1206.65,Segment_A,Free when as.
68,James Olson,"6532 John Spurs
Ronaldchester, FL 20983",4,(773)261-1011,2792.89,Segment_C,Name well charge political add debate.
69,Kyle Gonzalez,"563 Alexis Garden Apt. 683
Lake Michaelfurt, UT 12894",17,457.697.4492x64987,5216.41,Segment_B,Program light so pattern.
70,Michael Williams,"8971 Smith Streets
Bonnieton, ND 72856",2,+1-601-590-0864x962,8275.66,Segment_A,Main rule vote manager.
71,Andrew Cooper,"Unit 6814 Box 2335
DPO AE 81153",4,001-860-401-2749x301,4904.67,Segment_B,Beyond feeling six medical.
72,Alexander Rosales,"95788 Donald Way
Lake Nicholashaven, PA 14021",4,7606408890,1906.88,Segment_A,Interest soon often take red art street if.
73,Denise Johnson,"7525 Sally Cliff
Barronstad, MN 01559",2,7188223826,5529.41,Segment_C,Home so day degree often a that.
74,Kaitlin Harper,"383 Massey Forks Suite 530
Martinview, NJ 68542",5,5865097894,876.36,Segment_A,Staff situation our tax head into movement should.
75,Jennifer Terry,"039 Alexander Way
South Lisaland, IA 55562",3,753.864.4224x39992,1138.69,Segment_B,Return candidate mother off rock.
76,Stephen Roman,"6839 Vincent Forks
New Nicole, RI 37005",17,4093626210,6972.52,Segment_A,North bring fast wait level name so.
77,Laura Brown,"4399 Christensen Extensions
Port Denisestad, TX 04400",5,844-272-7271x50141,2868.06,Segment_A,Recently trip discuss loss relate only.
78,Sean Lewis,"46660 William Curve
Port Jeffreyland, FM 89928",2,724.243.5396,9846.02,Segment_B,Physical star it paper TV cultural forget.
79,Phillip Baker,"29717 Mitchell Path Suite 969
South Karenfort, AL 44084",17,803.697.4967,4299.63,Segment_B,Help something current past.
80,Walter Miller,"54574 Stacey Summit
West Melindafurt, AL 68147",4,001-957-388-3934,9902.55,Segment_A,Hospital show doctor brother indicate can charge.
81,Miranda Mueller,"6085 Adam Keys
Wardshire, VA 90932",9,716-863-9496x31113,1545.41,Segment_C,Program discussion notice tend candidate somebody modern where.
82,Jason Brown DDS,"459 Anthony Corners
Davidfurt, IN 82360",11,563-659-7364,5894.92,Segment_A,Reason computer voice article.
83,Stephen Stevens,"9038 Brenda Points
Paulland, MO 61489",9,595-946-7963x219,2080.46,Segment_B,Call throughout rock daughter read receive national news.
84,Barbara Contreras,"0649 Phyllis Brook
Deniseland, CT 69459",12,+1-318-588-3441x0607,9219.46,Segment_A,Group speak radio heavy.
85,Steven Manning,"59496 Mejia Turnpike
Perezside, KY 13972",9,(779)761-5805,5374.93,Segment_B,Notice certainly fine pick final cultural region.
86,James Dixon,"56507 Blair Crest Suite 515
West Laura, PW 75837",3,215-258-6564x33612,9235.12,Segment_C,Learn service work old magazine staff education.
87,Wayne Powers,"27891 Casey Cove Suite 633
North Williamborough, GA 47258",8,920-227-8344x14409,4830.62,Segment_B,Manager he since accept budget moment economy young.
88,Jonathan Nelson,"Unit 0463 Box 9835
DPO AA 11553",14,001-340-438-3391x4280,6826.74,Segment_B,Quality medical several book suffer.
89,Ellen Alvarez,"65391 Emily Oval Apt. 817
Obrienstad, WY 48322",15,001-256-269-9294x5795,3695.36,Segment_C,Involve of way trip.
90,Jennifer Nguyen,"441 Smith Stravenue Apt. 736
Haydenland, TX 53961",20,+1-477-824-6643x57247,2143.83,Segment_B,Resource garden but action main only just.
91,Derek Thompson,"469 Perry Gateway
Port Destinyshire, IN 72940",20,(420)868-1851x39811,4666.98,Segment_B,Program mean option deep food now fill.
92,Rebecca Pacheco,"6018 Harris Crossing
Nguyenburgh, NC 04744",14,443.865.0970x3989,5030.14,Segment_C,Best west it fund general successful management.
93,Ronald Gordon,"12389 Walker Knolls
Edwardston, RI 98883",10,+1-917-868-6675x463,8040.21,Segment_A,Live you kitchen discover cut.
94,Paul Russell,"63470 Savannah View Apt. 490
South Shanehaven, MH 75864",4,(904)724-5053x30763,8824.24,Segment_B,So style toward art president.
95,Ryan Sanders,"084 Jeffrey Stravenue
Port Christophershire, AL 49298",6,(698)723-6281,6775.52,Segment_C,Conference beyond color standard forward offer.
96,David Cowan,"9402 Young Via
Archerbury, CO 88731",17,465.781.5228x37346,3725.39,Segment_C,Last effort others decade.
97,John Gonzalez,"36342 James Ways
North Kennethchester, ND 77605",12,563-453-5822x690,7046.76,Segment_A,Shoulder everyone fight suggest shoulder later several morning.
98,Jason Costa,"34810 Johnson Lake
New John, PA 16944",4,578.913.8626x830,3460.53,Segment_C,News heart suffer.
99,Brian Callahan,"16201 Michael Valley Apt. 088
East Stacey, MA 39507",5,409-771-8357,3762.73,Segment_A,Industry interest here this wear share world in.
100,Amy Coleman,"662 Stacie Island Apt. 192
Jerryville, NV 72906",9,+1-534-767-3575x8612,1602.55,Segment_B,Election plan because today.
101,Dennis Carter,"2290 Baker Falls
New Carrieview, NV 32313",15,(206)510-3246x3348,3505.0,Segment_B,Car design hear better understand.
102,Gary Price,"0607 Williams Spur
North Matthew, MI 91382",12,248.329.3075x8394,2776.79,Segment_A,Today wear Mr Mr.
103,Kelsey Smith,"8038 Griffith Lakes Apt. 957
Port Helen, MH 08453",12,236.213.2156x105,2284.22,Segment_A,Mind each picture clear new benefit mind.
104,Joseph Singh,"2896 Chen Coves Suite 504
Kristineberg, PW 53810",17,9425982104,5698.08,Segment_C,Start about effort cost.
105,Mary Hines,"660 Logan Ports
North Melissa, IN 34694",14,542-429-7415x273,6731.3,Segment_A,Out although few they again.
106,Mike Henderson,"6136 Samuel Field
Parkburgh, CT 31993",6,267.424.2535,920.73,Segment_A,Pick message from somebody compare investment service.
107,Matthew Hahn,"8469 Poole Ramp
Victoriaville, HI 80575",4,2512224068,9304.39,Segment_A,Represent research and kitchen cover unit.
108,Stephanie Bruce,"51153 Tyrone Point
Buchananton, FM 90051",19,219-901-0426x6499,2007.6,Segment_A,Instead investment experience apply claim will job.
109,Robin Black,"038 Noah Cliff Suite 135
Justinchester, MA 22026",18,272.887.3354,5184.1,Segment_A,Environmental teacher family per letter operation.
110,Latoya Stewart,"5365 Moore Cliffs Apt. 793
South Davidmouth, TX 59533",13,557.785.6239x42282,4219.92,Segment_C,Approach your off subject computer company parent.
111,Katie Hernandez,"29260 Anderson Knoll Suite 232
Pittsside, SD 72522",1,(762)683-3736x135,1381.93,Segment_B,Standard president news morning event class.
112,William Harris,"91743 Heather Estates
Foxshire, CO 57285",6,565-248-6382,820.42,Segment_A,Rock degree because which present still.
113,Alexis Kane,"Unit 0564 Box 1852
DPO AP 37783",5,623-602-8999,9298.18,Segment_B,Very reason agree first decision.
114,Kimberly Graham,"9881 Bryan Wall
East Katrina, OK 99174",12,338-820-8556x373,1412.11,Segment_A,Itself election identify piece wall audience.
115,Crystal Ingram,"626 Kylie Lock
Baldwinberg, KY 92861",2,6899462198,6741.91,Segment_C,Could care language more someone.
116,Daniel Mendoza,"324 Tonya Rapids
Port Sarafort, NJ 62424",18,(282)222-2986x0894,4613.44,Segment_A,Energy on stock key thought.
117,Patrick Byrd,"182 Little Mill Suite 029
New Kara, PR 62151",18,+1-494-581-1148x04544,4477.73,Segment_C,Call short above federal relate particularly.
118,Jason Diaz,"8686 Pacheco Gateway Apt. 145
Lake Jasmine, CA 78214",12,285.847.0099x743,6758.08,Segment_C,Site respond stay trial team.
119,George Stewart,"1161 Gallegos Mountain Apt. 000
Port Kyle, MS 22820",18,(575)202-0792x48033,2812.4,Segment_B,Commercial rest upon site detail tree plant.
120,Jacob Lopez,"820 Reese Union
Port Glenn, FM 67379",4,669.687.4043,9335.14,Segment_A,Company relationship tough budget kitchen.
121,Kara Gomez,"1300 Fischer Fork
Pricetown, AS 56617",2,(634)902-4091x939,6850.9,Segment_C,Account fear me yes particularly us.
122,Timothy Garrison,"849 Welch Points
Karenton, AS 81921",10,5328830139,3413.02,Segment_A,Minute seek well.
123,Christine Adams,"86384 Torres Path
New Kendra, WV 03482",15,584.713.3724x35679,935.97,Segment_A,Bag fire forget lawyer.
124,Deborah Ramirez,"9752 Coleman Forges
Port Rachel, AK 06725",19,+1-362-324-8351,7846.24,Segment_A,Southern natural plant.
125,Amanda Erickson,"65241 Sonya Flats
Suzannestad, IL 42784",4,588-727-4424x5023,2620.61,Segment_A,White same sea today change sport fly.
126,Sandra Green,"59442 Duncan Orchard Suite 499
Walkerside, MA 49074",6,(201)233-5176x89602,3558.03,Segment_B,Open third wear better.
127,Jennifer Kim,"12947 Carney Junction
Leachville, IL 96035",8,001-329-559-3581x627,825.81,Segment_A,Option accept fly cold majority off.
128,Michelle Clark,"806 Stephen Loaf Apt. 462
Angelafurt, DC 12993",13,311-672-4285,5087.38,Segment_A,Foreign water it field important join.
129,Isaiah Yang,"3701 Mathis Skyway
Jennifertown, NY 32370",17,732.387.2583x43295,6660.42,Segment_C,Within interesting condition art impact night pay no.
130,Michelle Dean,"073 Vasquez Port Suite 605
Danielschester, AS 31853",4,+1-545-652-2456x270,474.52,Segment_A,Let would them store staff.
131,Kara Dominguez,"039 Jones Island
West Michael, DE 52732",5,4355283261,6061.19,Segment_B,Fall establish series down.
132,Kaitlyn Wallace,"2223 Mcconnell Squares Apt. 658
Jodistad, CA 44797",12,914.607.1680x8484,8226.27,Segment_B,Actually that break administration.
133,Shannon Caldwell,"USS Moreno
FPO AP 17025",3,508.764.3432x7964,8242.57,Segment_B,Mother subject tree sort.
134,Ryan Waters,"2230 Edward Summit
South Michaelview, SC 66508",5,440-415-6307,1233.7,Segment_C,Environment stage future bring tax final themselves.
135,Angela Yang,"396 Joseph Green Apt. 778
Swansonville, OR 20646",5,593-436-7627,3484.15,Segment_A,American total enjoy like.
136,Sandra Robertson,"239 Moore Gardens Suite 021
Craigshire, KS 15435",3,(814)594-6615,1383.21,Segment_B,Light thus why policy leader.
137,Steven Snow,"203 Garcia Village
Port Cynthia, MT 07292",4,001-224-843-2008x4322,823.68,Segment_A,Drug third effect relate carry most staff scientist.
138,Christina Patterson,"28739 Tate Park
Kristentown, OR 62001",10,001-474-268-5113x71809,5193.99,Segment_A,Price author size father home major defense.
139,Catherine Craig,"1587 Armstrong Summit
Michaelton, FM 58307",7,603.690.5216x434,3728.93,Segment_A,Sometimes financial both what.
140,Tony Dennis,"2727 Christopher Spring Apt. 948
New Debra, NJ 71220",5,715.968.7662x417,5848.35,Segment_B,Oil skin meeting.
141,John Ramos,"00003 Murray Route Suite 309
Millerbury, VT 22704",4,640.984.1804,4196.69,Segment_A,Candidate rich by group concern nice sound yourself.
142,Christopher Hernandez,"49387 Allen Club
East Thomasfort, VA 42477",5,6654112592,2530.48,Segment_C,Majority because include behind.
143,Donna Lee,"3711 Reed View Apt. 969
Robinsonfort, DC 59945",17,+1-865-212-1549x1525,5749.37,Segment_B,There never figure.
144,Heather Tate,"PSC 2069, Box 1552
APO AP 10067",6,(461)852-4363,809.27,Segment_B,Body remain positive me leave wall.
145,Keith Montes,"Unit 0992 Box 7590
DPO AE 98129",10,656-746-2290,6805.08,Segment_C,Drive animal example soldier her.
146,Gregory Gonzalez,"607 Matthew Motorway
Andreaview, IN 73052",1,4517770501,8026.76,Segment_A,Score force example book.
147,Megan Cannon,"3996 Lee Fields
East Jennifer, TN 99523",17,001-478-482-1460x5303,6457.66,Segment_B,Ago throughout through.
148,Joseph Robinson,"721 Spencer Mountain
West Melanieside, KS 15185",3,(673)882-5471,2684.65,Segment_C,Spend order less response.
149,Matthew King,"8094 Guy Route Apt. 249
Charlesshire, KS 10396",1,+1-491-357-0262x378,15.62,Segment_C,Much benefit inside indicate bill certainly.
150,Dustin Palmer,"419 Brenda Terrace
East Bruce, WI 01612",11,+1-878-801-2330,1007.12,Segment_B,Role walk teach piece high then.
151,Anthony Lucas,"32116 Morgan Freeway
East Bryanmouth, IL 39968",14,+1-975-274-4376x5513,3433.01,Segment_A,Society nation go.
152,Laura Taylor,"9115 Wells View
Lake Dawn, CA 01920",4,2928090106,1798.19,Segment_C,On necessary present serious per especially friend play.
153,Robert Burgess,"8930 Russell Brooks Apt. 130
Perryburgh, NE 15008",7,001-247-237-7405x9416,5018.79,Segment_A,Discussion article television.
154,Robert Johnson,"2209 James Ports Suite 715
West Richard, NE 50081",13,001-460-865-4198,9461.65,Segment_C,Lead entire southern bar mind.
155,Mary James,"7001 Howe Ford Apt. 173
Port Joport, NV 24572",18,794.600.2394,4332.55,Segment_C,Reason produce strong move.
156,Kaitlin Jones,"28575 Collins Station Apt. 813
North Christopher, FL 66734",1,+1-303-523-4020x60871,4457.14,Segment_A,Street Congress who new.
157,Daniel Kelly,"607 Kathleen Parkways
Paulchester, MD 14446",4,822-336-0163x4224,5318.21,Segment_C,Nice budget and idea.
158,Elizabeth Williams,"655 Cox Knolls Apt. 319
South Kurt, NJ 45065",3,(465)517-7236x296,8980.31,Segment_C,Fear measure animal ground yard.
159,John Palmer,"794 Barnett Walks
South Brandi, OH 73898",3,634.445.3664,6279.07,Segment_A,At movie ask behind great defense development way.
160,Deborah Ferguson,"375 Wright Trafficway Apt. 153
Pereztown, IL 15769",4,001-522-780-9037x81592,2417.77,Segment_A,National fish become product very.
161,Laura George,"200 French Inlet Suite 217
Lauraburgh, NJ 94805",1,(454)629-4162,1952.76,Segment_B,Wind series race season building happy.
162,Robert Holt,"881 James Fort Apt. 372
Katherineport, VI 08747",15,001-266-268-5875,4134.98,Segment_C,Politics effect nice garden.
163,Donald Bruce,"97288 Teresa Loop Apt. 455
Port Joelland, FL 50770",14,001-791-473-3732x3066,7269.48,Segment_B,Carry mother partner reduce list leader true.
164,Candace Cochran,"48830 Daryl Corners
Herbertport, ME 76271",10,399.729.1652,1953.55,Segment_B,Prepare seven recently PM anything.
165,Lori Stout,"432 Kathleen Plains Suite 050
Lake Sarahtown, AZ 17911",9,(993)278-1679,1116.09,Segment_C,Kitchen step story always.
166,Patrick Francis,"8915 Hopkins Locks Apt. 895
New Stephaniehaven, DE 16974",17,+1-414-444-1188x94771,9529.86,Segment_A,With admit operation two thus.
167,Stephen Turner,"479 Davis Parkways
West Thomasville, ND 94034",3,+1-373-396-0481,8645.96,Segment_C,Lose way few identify several.
168,Karen Watson,"286 Angela Prairie
Michaeltown, LA 71401",10,439.473.5214,2042.32,Segment_C,Able forget stuff reveal.
169,Eileen Gross,"9497 Ryan Point Apt. 119
Jamietown, KY 14886",6,6834713186,1646.78,Segment_A,Class bad book term increase bar.
170,Mr. Roger Carter MD,"431 Paul Walks
Washingtonborough, AS 54248",5,752.827.6174,4338.76,Segment_A,Real another send direction though myself.
171,Sherri Miller,"3359 Strickland Park Suite 463
East Charlesside, MO 23057",19,(728)270-7442x8179,3244.81,Segment_C,Possible style work.
172,Melissa Powell,"73655 Wallace Trail
Lake Alexburgh, TN 39460",13,001-562-773-2794x031,6035.23,Segment_A,Hard southern inside southern strong simple early.
173,Kenneth Lawson,"8293 Nelson Prairie
Elijahfort, NV 80090",1,+1-527-560-8727x260,7580.01,Segment_C,Well loss eight well.
174,Juan Boyle,"3852 Sharon Square
North Cynthia, MH 22963",14,403-417-5626,6814.62,Segment_A,Red build police decide course none.
175,Nicholas Jackson,"22322 Walton Rest Apt. 867
Ramirezfurt, UT 29816",16,734-915-9087,1922.07,Segment_B,Project wide nor never matter catch suggest art.
176,Nicholas Baird,"9555 Williams Rapids
Theresafurt, NM 87131",7,990.792.1016,6508.39,Segment_C,Also politics section manage Democrat.
177,Katie Hawkins,"873 Martin Village Apt. 683
Lake Mariaville, SD 08986",7,001-996-721-1928x25037,5968.73,Segment_B,Officer current chance garden training.
178,Sean Brown,"510 Kelly Grove
East Juanville, MO 06198",13,+1-872-657-0151x74859,1721.19,Segment_C,Remember probably most contain another.
179,Savannah Ballard MD,"4622 Owens Roads
New Christopherburgh, AK 60282",18,412-815-8131x33905,2415.95,Segment_A,Various get rock deal pattern much first middle.
180,Jeanette Davis,"86684 Jackson Locks Suite 811
Lake Charlesview, MT 73447",9,+1-724-855-0283x4897,4580.34,Segment_C,Name run little.
181,Adam Myers,"30021 Wright Spurs Apt. 431
Jamesborough, VT 70255",3,2837415212,374.45,Segment_A,Travel this camera visit must recent tree.
182,Samantha Pearson,"0148 Holmes Way Apt. 808
Port Jasonton, AR 48700",17,001-912-369-3100x3862,7705.51,Segment_C,Low design street floor.
183,Megan Martin,"46028 Matthew Pines
Carolynmouth, MP 35627",10,464.696.6510x22811,6722.28,Segment_C,Group within report deep century.
184,Terry Taylor,"9757 Calderon Viaduct
Laurieport, FM 89627",9,860.581.2906,1024.47,Segment_B,Sell expert increase sport better late.
185,Ashley King,"USNV Torres
FPO AP 98101",11,(478)256-5741x17975,7973.94,Segment_A,Under lawyer cell process or.
186,Jeffrey Clark V,"78556 Peterson Trail
Adrianshire, ME 10703",15,866.490.7865x6093,9176.15,Segment_B,Throw become expert soon.
187,Teresa Gray,"2655 Kyle Port
Kristenstad, NC 49602",11,247-494-8118x8586,2548.16,Segment_C,Various conference thank performance none interesting one person.
188,Sarah Hansen,"056 Smith Trace Apt. 682
Morrisport, MS 63026",12,997-751-4977x1611,6115.3,Segment_C,Part two difficult more too ahead life day.
189,Kenneth Tapia,"14473 Anthony Tunnel Suite 536
Lake Amanda, VI 35192",20,(811)681-6679x87543,5528.84,Segment_C,Song trip prepare past field amount owner big.
190,Jonathan Martinez,"47372 Richard Stream
North Elizabeth, PW 18176",15,(262)399-0178,3339.12,Segment_A,High out could food house responsibility.
191,Patrick Fischer,"0386 Hopkins Pike
Kellystad, VA 83025",11,+1-847-834-3129x9855,6952.99,Segment_C,Model step into world.
192,Alicia Chavez,"6933 Bean Springs
East Sean, AR 22038",18,(273)314-9007,8633.94,Segment_C,She model ball his factor.
193,Shawn Gordon,"39717 Mathis Manors Apt. 795
New Darlenetown, AS 04507",15,+1-288-521-5788x932,5505.57,Segment_C,Represent college its interest.
194,James Cuevas,"665 Marsh Hill
Port Steven, MI 48355",8,+1-308-873-1595x7158,6194.38,Segment_C,Tough spend key different author.
195,Ashley Collier,"104 Carter Pass
Edwardsburgh, NM 09835",12,477.993.4293,6798.58,Segment_C,Majority letter cover determine evidence glass.
196,Douglas Tran,"3559 Hull Light Suite 846
Lake Kimberlyberg, DC 43539",6,001-493-664-3235x679,4344.97,Segment_B,Ability because usually gun able.
